study_id	name	version	raw_version	bids_version	raw_bids_version	raw_hed_version	license	authors	author_lead_raw	author_senior_raw	source_count	source_types	derivative_count	subjects_num	sessions_num	sessions_min	sessions_max	bold_num	bold_timepoints	bold_tasks	bold_trs	bold_duration_total	t1w_num	t2w_num	bold_size	t1w_size	bold_size_max	bold_voxels	datatypes	derivative_ids	bids_valid	extraction_version
study-ds004488	Study dataset for ds004488	n/a	2.0.0	1.10.1	1.4.1	n/a	CC0	Yaroslav Halchenko	Ming Zhou	Zonglei Zhen	1	raw	0	90	360	4	4	720	112320	action	"{""2.0"": 720}"	224640.0	30	0	97740493630	346415304	152496456	720000	anat,fmap,func	n/a	n/a	1.1.0
study-ds004496	Study dataset for ds004496	n/a	2.1.2	1.10.1	1.4.1	n/a	CC0	Yaroslav Halchenko	Zhengxin Gong	Zonglei Zhen	1	raw	0	90	942	5	25	1588	377936	coco,floc,imagenet,prf	"{""2.0"": 1588}"	755872.0	30	0	335349742650	335843252	255747330	720000	anat,fmap,func	n/a	n/a	1.1.0
study-ds004636	Study dataset for ds004636	n/a	1.0.4	1.10.1	1.51-rc1	n/a	CC0	Yaroslav Halchenko	Bissett, P. G.	Poldrack, R. A.	1	raw	0	220	1672	3	12	1268	966607	ANT,CCTHot,DPX,WATT3,discountFix,motorSelectiveStop,rest,stopSignal,stroop,surveyMedley,twoByTwo	"{""0.68"": 1268}"	657292.8	181	140	2428004212432	2804588395	3835073658	640000	anat,fmap,func	n/a	n/a	1.1.0
study-ds004746	Study dataset for ds004746	n/a	1.0.1	1.10.1	1.2	n/a	CC0	Yaroslav Halchenko	Rotem Botvinik-Nezer	Tor Wager	1	raw	0	395	1583	3	6	1574	899949	paingen	"{""0.46"": 1574}"	413976.5	398	0	440095464956	7000209016	303970707	376544	anat,fmap,func	n/a	n/a	1.1.0
study-ds004884	Study dataset for ds004884	n/a	1.0.2	1.10.1	1.6.0	n/a	CC0	Yaroslav Halchenko	Makayla Gibson	Chris Rorden	1	raw	0	458	5776	2	83	1402	252478	naming40,rest	"{""1.65"": 406, ""1.85"": 83, ""2.0"": 19, ""10.0"": 894}"	969563.1	447	441	127127133623	1813113088	301107646	450000	anat,dwi,func	n/a	n/a	1.1.0
study-ds005165	Study dataset for ds005165	n/a	1.0.4	1.10.1	1.5.8	n/a	CC0	Yaroslav Halchenko	Benjamin Lahner	Aude Oliva*	1	raw	0	300	4800	16	16	3570	913880	localizer,rest,test,train	"{""1.0"": 1240, ""1.75"": 620}"	567600.0	51	20	1890322386310	1052975176	1780949757	515034	anat,fmap,func	n/a	n/a	1.1.0
study-ds005237	Study dataset for ds005237	n/a	1.1.3	1.10.1	1.2.1	n/a	CC0	Yaroslav Halchenko	Sidhant Chopra	Avram J. Holmes	1	raw	0	241	n/a	n/a	n/a	1613	798051	hammerAP,restAP,restPA,stroopAP,stroopPA	"{""0.8"": 1613}"	638440.8	241	241	999846214285	1377730944	679618060	778752	anat,fmap,func	n/a	n/a	1.1.0
study-ds005256	Study dataset for ds005256	n/a	1.1.0	1.10.1	1.9.0	8.3.0	CC0	Yaroslav Halchenko	Heejung Jung	Tor D. Wager	1	raw	0	117	1504	5	14	4178	4328963	alignvideo,faces,fractional,narratives,shortvideo,social	"{""0.46"": 4178}"	1991323.0	117	0	2190296211744	1811215873	1037010752	376544	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds005747	Study dataset for ds005747	n/a	1.2.1	1.10.1	1.0.1	n/a	CC0	Yaroslav Halchenko	Jiahe Zhang	Marta Bianciardi	1	raw	0	90	n/a	n/a	n/a	270	69117	rest	"{""2.34"": 270}"	161733.8	90	0	354739846308	168929768	1462514161	4255308	anat,func	n/a	n/a	1.1.0
study-ds005752	Study dataset for ds005752	n/a	2.1.0	1.10.1	1.9.0	n/a	CC0	Yaroslav Halchenko	Allison C. Nugent	Joyce Chung	1	raw	0	1341	2695	3	21	998	142643	rest	"{""2.0"": 720, ""3.0"": 278}"	315429.0	503	438	32319551552	4468601617	80318740	196992	anat,dwi,fmap,func,meg,perf	n/a	n/a	1.1.0
study-ds005896	Study dataset for ds005896	n/a	1.0.0	1.10.1	1.6.0	8.0.0	CC0	Yaroslav Halchenko	Baldwin M. Way	Ping Bai	1	raw	0	262	n/a	n/a	n/a	2451	740911	NBack,face,mid,nback,qreact,rest	"{""1.0"": 2451}"	740911.0	262	257	255471399699	3992677299	124730444	233280	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds006131	Study dataset for ds006131	n/a	1.0.0	1.10.1	1.10.0	n/a	CC0	Yaroslav Halchenko	Juliette B. H. Brook	Theodore D. Satterthwaite	1	raw	4	18	106	4	6	480	144600	bao,rat,rest	"{""1.761"": 480}"	254640.6	24	14	337994237050	329761495	1162934399	871200	anat,dwi,fmap,func,perf	fMRIPrep-24.1.1,MRIQC-25.0.0rc0,qsiprep-1.0.1.dev0+gee9aa2e.d20250115,ASLPrep-0.7.5	n/a	1.1.0
study-ds006189	Study dataset for ds006189	n/a	n/a	1.10.1	1.10.0	n/a	CC0	Yaroslav Halchenko	Juliette B. H. Brook	Theodore D. Satterthwaite	2	raw	1	42	202	4	6	864	260280	bao,rat,rest	"{""1.761"": 864}"	458353.1	48	21	642618400201	757161815	1162934399	902629	anat,dwi,fmap,func,perf	fMRIPost-AROMA-0.0.10	n/a	1.1.0
study-ds006190	Study dataset for ds006190	n/a	n/a	1.10.1	1.10.0	n/a	CC0	Yaroslav Halchenko	Juliette B. H. Brook	Theodore D. Satterthwaite	3	raw	1	54	238	3	6	912	274740	bao,rat,rest	"{""1.0"": 1, ""1.761"": 911}"	483632.2	48	21	656186548491	757161815	1162934399	902629	anat,dwi,fmap,func,perf	tedana-24.0.2	n/a	1.1.0
study-ds006191	Study dataset for ds006191	n/a	n/a	1.10.1	1.10.0	n/a	CC0	Yaroslav Halchenko	Juliette B. H. Brook	Theodore D. Satterthwaite	4	raw	1	66	274	3	6	1056	317919	bao,rat,rest	"{""1.0"": 1, ""1.761"": 1055}"	559670.4	48	21	686647150788	757161815	1162934399	902629	anat,dwi,fmap,func,perf	custom-ds006191	n/a	1.1.0
study-ds006192	Study dataset for ds006192	n/a	n/a	1.10.1	1.10.0	n/a	CC0	Yaroslav Halchenko	Juliette B. H. Brook	Theodore D. Satterthwaite	4	raw	1	66	262	2	6	912	274740	bao,rat,rest	"{""1.0"": 1, ""1.761"": 911}"	483632.2	48	21	656186548491	757161815	1162934399	902629	anat,dwi,fmap,func,perf	xcp_d-0.10.6	n/a	1.1.0
study-ds006623	Study dataset for ds006623	n/a	1.0.0	1.10.1	1.8.0	8.2.0	CC0	Yaroslav Halchenko	Zirui Huang	et al.	1	raw	0	285	n/a	n/a	n/a	1686	859368	imagery,rest	"{""0.8"": 614}"	687494.4	181	0	1382379086302	6362438741	2053918572	311296	anat,func	n/a	n/a	1.1.0
